問11,"情報システムの調達において、提案の依頼先となる複数のITベンダーに提供するRFP（提案依頼書）の記載事項として、適切なものはどれか。","システムの要件や調達の条件","ベンダーの財務状況や経営理念","ベンダーが過去に開発したシステムの詳細なソースコード","発注元の従業員の個人情報リスト"
問12,"SDGs（Sustainable Development Goals）の説明として、最も適切なものはどれか。","国連で採択された、2030年までに達成すべき持続可能な開発のための17の国際目標","企業のITガバナンスの成熟度を評価するための国際的なフレームワーク","個人情報の適切な保護体制を整備している事業者を認定する制度","環境に配慮した製品やサービスに付与されるエコマークの認証基準"
問13,"企業の競争優位性を分析するために、自社の事業活動を主活動と支援活動に分け、それぞれの活動がどのように付加価値を生み出しているかを分析する手法はどれか。","バリューチェーン分析","SWOT分析","PPM（プロダクト・ポートフォリオ・マネジメント）","3C分析"
問14,"ABC分析の説明として、最も適切なものはどれか。","商品の売上高などの要素を大きい順に並べ、累積構成比によってA、B、Cの3つのグループに分類して重点管理する手法","顧客の購買履歴（最新購買日、購買頻度、購買金額）を基に顧客を分類する手法","製品のライフサイクルを導入期、成長期、成熟期、衰退期に分けて戦略を立てる手法","市場を細分化し、自社が狙うべきターゲット層を決定する手法"
問15,"クラウドファンディングに関する記述として、最も適切なものはどれか。","不特定多数の人からインターネット経由で資金を集める仕組み","金融機関が企業に対して行う大口の融資","企業が自社の株式を公開し、証券市場を通じて資金を調達すること","国や自治体が特定のプロジェクトに対して交付する補助金"
問16,"企業が自社の業務の一部を、海外の企業に委託することを何というか。","オフショアアウトソーシング","クラウドコンピューティング","BPR（ビジネスプロセス・リエンジニアリング）","テレワーク"
問17,"ブレーンストーミングのルールとして、適切なものはどれか。","他人の意見を批判せず、自由奔放な発言を歓迎し、質より量を重視する","参加者全員が事前に意見をまとめ、会議では多数決で決定する","専門家の意見を尊重し、経験の浅い者の発言は控える","実行不可能なアイデアは最初から排除し、現実的な解決策のみを議論する"
問18,"個人情報保護法における「要配慮個人情報」に該当するものはどれか。","本人の人種、信条、社会的身分、病歴、犯罪の経歴など、不当な差別や偏見が生じないように特に配慮を要する情報","氏名、生年月日、住所など、特定の個人を識別できる情報","クレジットカード番号や銀行口座番号などの金融情報","企業の顧客リストや従業員名簿などの営業秘密情報"
問19,"コーポレートガバナンスの説明として、最も適切なものはどれか。","企業の経営について利害関係者が監視・評価し、経営の透明性や健全性を維持する仕組み","企業が法令や社会規範を遵守して事業活動を行うこと","企業が社会の課題解決に貢献するための社会貢献活動","従業員の労働環境を改善し、ワークライフバランスを推進すること"
問20,"M&Aにおけるシナジー効果の説明として、最も適切なものはどれか。","複数の企業が統合することで、単独で事業を行う場合の価値の合計よりも大きな価値を生み出すこと","企業が新規事業に参入する際の投資リスクを分散すること","競合他社を買収することで、市場における独占的な地位を確立すること","不採算事業を売却し、経営資源を中核事業に集中させること"
問題番号,問題,正解答,誤回答1,誤回答2,誤回答3
問21,"フリーミアムの事例として、適切なものはどれか。","名刺を個人で登録・管理する基本機能を無料で提供し、社内関係者との間での顧客情報の共有や人物検索などの追加機能を有料で提供する名刺管理サービス","購入した定額パスをもっていれば、期限内は何杯でもドリンクをもらえるファーストフード店のサービス","無料でダウンロードして使うことはできるが、プログラムの改変は許されていない統計解析プログラム","有料広告を収入源とすることによって、無料で配布している地域限定の生活情報などの広報誌"
問22,"資金決済法における前払式支払手段に該当するものはどれか。","全国のデパートや商店などで共通に利用可能な使用期限のない商品券","Webサイト上で預金口座から振込や送金ができるサービス","インターネット上で電子的な通貨として利用可能な暗号資産","店舗などでの商品購入時に付与され、同店での次回の購入代金として利用可能なポイント"
問23,"OMG（Object Management Group）によって維持されており、国際規格ISO/IEC 19510として標準化されているビジネスプロセスのモデリング手法及び表記法はどれか。","BPMN","BABOK","BPO","BPR"
問24,"需要量が年間を通じて安定している場合において、定量発注方式に関する記述として、最も適切なものはどれか。","最適な発注量は、発注費用と在庫維持費用の総額が最小となる場合である。","発注回数の多寡で比較したとき、発注回数の多い方が商品を保管するスペースを広くする必要がある。","発注は毎週金曜日、毎月末など、決められた同じサイクルで行われる。","毎回需要予測に基づき発注が行われる。"
問25,"企業の行為に関する記述a～cのうち、コンプライアンスにおいて問題となるおそれのある行為だけを全て挙げたものはどれか。(a 新商品の名称を消費者に浸透させるために、誰でも応募ができて、商品名の一部を答えさせるだけの簡単なクイズを新聞や自社ホームページ、雑誌などに広く掲載し、応募者の中から抽選で現金10万円が当たるキャンペーンを実施した。 b 人気のあるWebサイトを運営している企業が、広告主から宣伝の依頼があった特定の商品を好意的に評価する記事を、広告であることを表示することなく一般の記事として掲載した。 c フランスをイメージしてデザインしたバッグを国内で製造し、原産国の国名は記載せず、パリの風景写真とフランス国旗だけを印刷したタグを添付して、販売した。)","b, c","a, b","a, b, c","a, c"
問26,"組立製造販売業A社では経営効率化の戦略として、部品在庫を極限まで削減するためにかんばん方式を導入することにした。この戦略実現のために、A社が在庫管理システムとオンラインで連携させる情報システムとして、最も適切なものはどれか。なお、A社では在庫管理システムで部品在庫も管理している。また、現在は他のどのシステムも在庫管理システムと連携していないものとする。","部品購買システム","会計システム","顧客管理システム","販売管理システム"
問27,"ファミリーレストランチェーンAでは、店舗の運営戦略を検討するために、店舗ごとの座席数、客単価及び売上高の三つの要素の関係を分析することにした。各店舗の三つの要素を、一つの図表で全店舗分可視化するときに用いる図表として、最も適切なものはどれか。","バブルチャート","ガントチャート","マインドマップ","ロードマップ"
問28,"AIを開発するベンチャー企業のA社が、資金調達を目的に、金融商品取引所に初めて上場することになった。このように、企業の未公開の株式を、新たに公開することを表す用語として、最も適切なものはどれか。","IPO","LBO","TOB","VC"
問29,"不正な販売行為を防ぐために、正当な理由なく映像ソフトのコピープロテクトを無効化するプログラムの販売行為を規制している法律はどれか。","不正競争防止法","商標法","特定商取引に関する法律","不正アクセス行為の禁止等に関する法律"
問30,"犯罪によって得た資金を正当な手段で得たように見せかける行為を防ぐために、金融機関などが実施する取組を表す用語として、最も適切なものはどれか。","AML（Anti-Money Laundering）","インサイダー取引規制","スキミング","フィッシング"
問題番号,問題,正解答,誤回答1,誤回答2,誤回答3
問31,"様々な企業のシステム間を連携させる公開されたインタフェースを通じて、データやソフトウェアを相互利用し、それらの企業との協業を促進しながら新しいサービスを創出することなどで、ビジネスを拡大していく仕組みを表す用語として、最も適切なものはどれか。","APIエコノミー","アウトソーシング","シェアリングエコノミー","プロセスイノベーション"
問32,"新システムの導入を予定している企業や官公庁などが作成するRFPの説明として、最も適切なものはどれか。","ベンダー企業にシステムの導入目的や機能概要などを示し、提案書の提出を求めるもの","ベンダー企業から情報収集を行い、システムの技術的な課題や実現性を把握するもの","ベンダー企業と発注者で新システムに求められる性能要件などを定義するもの","ベンダー企業と発注者との間でサービス品質のレベルに関する合意事項を列挙したもの"
問33,"製品Aを1個生産するのに部品aが2個、部品bが1個必要である。部品aは1回の発注数量150個、調達期間1週間、部品bは1回の発注数量100個、調達期間2週間の購買部品である。製品Aの6週間の生産計画と、部品a、部品bの1週目の手持在庫が表のとおりであるとき、遅くとも何週目に部品を発注する必要があるか。ここで、部品の発注、納品はそれぞれ週の初めに行われるものとし、納品された部品はすぐに生産に利用できるものとする。（※表データに基づく）","3","2","4","5"
問34,"記述 a〜c のうち、“人間中心のAI社会原則” において、AIが社会に受け入れられ、適正に利用されるために、社会が留意すべき事項として記されているものだけを全て挙げたものはどれか。(a AIの利用に当たっては、人が利用方法を判断し決定するのではなく、AIが自律的に判断し決定できるように、AIそのものを高度化しなくてはならない。 b AIの利用は、憲法及び国際的な規範の保障する基本的人権を侵すものであってはならない。 c AIを早期に普及させるために、まず高度な情報リテラシーを保有する者に向けたシステムを実現し、その後情報弱者もAIの恩恵を享受できるシステムを実現するよう、段階的に発展させていかなくてはならない。)","b","a, b","a, b, c","b, c"
問35,"第4次産業革命に関する記述として、最も適切なものはどれか。","医療やインフラ、交通システムなどの生活における様々な領域で、インターネットやAIを活用して、サービスの自動化と質の向上を図る。","エレクトロニクスを活用した産業用ロボットを工場に導入することによって、生産の自動化と人件費の抑制を行う。","工場においてベルトコンベアを利用した生産ラインを構築することによって、工業製品の大量生産を行う。","織機など、軽工業の機械の動力に蒸気エネルギーを利用することによって、人手による作業に比べて生産性を高める。"
問36,"サービスデスクの業務改善に関する記述のうち、最も適切なものはどれか。","サービスデスクが受け付けた問合せの内容や回答、費やした時間などを記録して分析を行う。","障害の問合せに対して一時的な回避策は提示せず、根本原因及び解決策の検討に注力する体制を組む。","利用者が問合せを速やかに実施できるように、問合せ窓口は問合せの種別ごとにできるだけ細かく分ける。","利用者に対して公平性を保つように、問合せ内容の重要度にかかわらず受付順に回答を実施するように徹底する。"
問37,"システム監査人の行動規範に関して、次の記述中の（ a ）、（ b ）に入れる字句の適切な組合せはどれか。「システム監査人は、監査対象となる組織と同一の指揮命令系統に属していないなど、（ a ）上の独立性が確保されている必要がある。また、システム監査人は（ b ）立場で公正な判断を行うという精神的な態度が求められる。」","a：外観 b：客観的な","a：経営 b：被監査側の","a：契約 b：経営者側の","a：取引 b：良心的な"
問38,"システム開発プロジェクトの品質目標を検討するために、複数の類似プロジェクトのプログラムステップ数と不良件数の関係性を示す図として、適切なものはどれか。","散布図","管理図","特性要因図","パレート図"
問39,"運用中のソフトウェアの仕様書がないので、ソースコードを解析してプログラムの仕様書を作成した。この手法を何というか。","リバースエンジニアリング","コードレビュー","デザインレビュー","リファクタリング"
問40,"ソフトウェア開発におけるDevOpsに関する記述として、最も適切なものはどれか。","開発側と運用側が密接に連携し、自動化ツールなどを取り入れることによって、仕様変更要求などに対して迅速かつ柔軟に対応する。","運用側で利用する画面のイメージを明確にするために、開発側が要件定義段階でプロトタイプを作成する。","開発側が、設計・開発・テストの工程を順に実施して、システムに必要な全ての機能及び品質を揃えてから運用側に引き渡す。","一つのプログラムを2人の開発者が共同で開発することによって、生産性と信頼性を向上させる。"
問題番号,問題,正解答,誤回答1,誤回答2,誤回答3
問51,"ITサービスマネジメントにおけるインシデント管理の目的はどれか。","サービスを可能な限り迅速に正常な状態に復旧させる。","インシデントの根本原因を突き止め、再発を防止する。","ITサービスに対する変更を、安全かつ効率的に実施する。","IT資産の正確な情報を維持管理する。"
問52,"システム開発プロジェクトにおける、WBS（Work Breakdown Structure）の説明として適切なものはどれか。","プロジェクトで実施する作業を階層的に分解し、管理可能な大きさに細分化したもの","プロジェクトのスケジュールをネットワーク図で表したもの","プロジェクトで発生するコストを段階的に見積もる手法","プロジェクトの目標を達成するための組織体制を図式化したもの"
問53,"システム監査人が行うべき行動として、最も適切なものはどれか。","監査対象から独立した客観的な立場で、情報システムのリスクコントロールを評価する。","監査対象部門の業務プロセスを自ら設計し、改善活動を直接実行する。","監査で発見された問題点について、システム開発の責任者として改修の指揮を執る。","システムの導入にかかる費用を算出し、IT投資の最終的な意思決定を行う。"
問54,"情報システムの運用環境において、ファシリティマネジメントの対象となるものとして、最も適切なものはどれか。","サーバ室の空調や電源設備の管理","ソフトウェアのバージョン管理","データベースのアクセス権限の設定","ネットワークのルーティング設定"
問55,"ソフトウェア開発におけるテスト工程において、システムテストの目的として、最も適切なものはどれか。","構築されたシステム全体が、要求された機能や性能を満たしているかを確認する。","プログラムの内部構造や論理経路が正しく記述されていることを確認する。","モジュール間のインタフェースが正しく機能しているかを確認する。","実際の運用環境において、利用者が業務を遂行できるかを確認する。"
問56,"2進数「10110」を10進数で表したものはどれか。","22","18","24","26"
問57,"関係データベースにおいて、主キーの条件として適切なものはどれか。","表の中で各行を一意に識別でき、NULL（空値）であってはならない。","他の表の主キーと同じ値を持たなければならない。","数値型のデータしか設定することができない。","複数の行で同じ値が重複してもよい。"
問58,"公開鍵暗号方式に関する記述として、適切なものはどれか。","受信者の公開鍵で暗号化したデータは、受信者の秘密鍵でのみ復号できる。","暗号化と復号に同じ鍵を使用する。","共通鍵暗号方式と比べて、暗号化や復号の処理速度が速い。","送信者の秘密鍵で暗号化したデータは、送信者の公開鍵を持つ特定の人のみが復号できる。"
問59,"TCP/IPネットワークにおいて、IPアドレスからMACアドレスを取得するためのプロトコルはどれか。","ARP","DHCP","DNS","NAT"
問60,"マルウェアの一種である「ランサムウェア」の説明として、最も適切なものはどれか。","PC内のファイルを暗号化して使用不能にし、元に戻すことと引き換えに金銭を要求する。","キーボードの入力履歴を記録し、パスワードなどの個人情報を盗み出す。","システムの脆弱性を悪用して、ネットワーク経由で他のPCに自己増殖する。","正常なプログラムを装ってPCに侵入し、バックドアを仕掛けて外部から遠隔操作できるようにする。"
問題番号,問題,正解答,誤回答1,誤回答2,誤回答3
問51,"ITサービスマネジメントにおけるインシデント管理の目的はどれか。","サービスを可能な限り迅速に正常な状態に復旧させる。","インシデントの根本原因を突き止め、再発を防止する。","ITサービスに対する変更を、安全かつ効率的に実施する。","IT資産の正確な情報を維持管理する。"
問52,"システム開発プロジェクトにおける、WBS（Work Breakdown Structure）の説明として適切なものはどれか。","プロジェクトで実施する作業を階層的に分解し、管理可能な大きさに細分化したもの","プロジェクトのスケジュールをネットワーク図で表したもの","プロジェクトで発生するコストを段階的に見積もる手法","プロジェクトの目標を達成するための組織体制を図式化したもの"
問53,"システム監査人が行うべき行動として、最も適切なものはどれか。","監査対象から独立した客観的な立場で、情報システムのリスクコントロールを評価する。","監査対象部門の業務プロセスを自ら設計し、改善活動を直接実行する。","監査で発見された問題点について、システム開発の責任者として改修の指揮を執る。","システムの導入にかかる費用を算出し、IT投資の最終的な意思決定を行う。"
問54,"情報システムの運用環境において、ファシリティマネジメントの対象となるものとして、最も適切なものはどれか。","サーバ室の空調や電源設備の管理","ソフトウェアのバージョン管理","データベースのアクセス権限の設定","ネットワークのルーティング設定"
問55,"ソフトウェア開発におけるテスト工程において、システムテストの目的として、最も適切なものはどれか。","構築されたシステム全体が、要求された機能や性能を満たしているかを確認する。","プログラムの内部構造や論理経路が正しく記述されていることを確認する。","モジュール間のインタフェースが正しく機能しているかを確認する。","実際の運用環境において、利用者が業務を遂行できるかを確認する。"
問56,"2進数「10110」を10進数で表したものはどれか。","22","18","24","26"
問57,"関係データベースにおいて、主キーの条件として適切なものはどれか。","表の中で各行を一意に識別でき、NULL（空値）であってはならない。","他の表の主キーと同じ値を持たなければならない。","数値型のデータしか設定することができない。","複数の行で同じ値が重複してもよい。"
問58,"公開鍵暗号方式に関する記述として、適切なものはどれか。","受信者の公開鍵で暗号化したデータは、受信者の秘密鍵でのみ復号できる。","暗号化と復号に同じ鍵を使用する。","共通鍵暗号方式と比べて、暗号化や復号の処理速度が速い。","送信者の秘密鍵で暗号化したデータは、送信者の公開鍵を持つ特定の人のみが復号できる。"
問59,"TCP/IPネットワークにおいて、IPアドレスからMACアドレスを取得するためのプロトコルはどれか。","ARP","DHCP","DNS","NAT"
問60,"マルウェアの一種である「ランサムウェア」の説明として、最も適切なものはどれか。","PC内のファイルを暗号化して使用不能にし、元に戻すことと引き換えに金銭を要求する。","キーボードの入力履歴を記録し、パスワードなどの個人情報を盗み出す。","システムの脆弱性を悪用して、ネットワーク経由で他のPCに自己増殖する。","正常なプログラムを装ってPCに侵入し、バックドアを仕掛けて外部から遠隔操作できるようにする。"
問題番号,問題,正解答,誤回答1,誤回答2,誤回答3
問61,"バイオメトリクス認証に関する記述として、適切なものはどれか。","指紋や静脈、顔などの身体的特徴や、筆跡などの行動的特徴を用いて本人確認を行う。","秘密の質問に対する答えを用いて本人確認を行う。","乱数表やパスワード生成器などが生成する一度きりのパスワードを用いて本人確認を行う。","ICカードや磁気カードなどの所有物を用いて本人確認を行う。"
問62,"ディジタル署名を利用することによって得られるセキュリティ上の効果として、適切なものはどれか。","送信者が本人であることの確認と、データが改ざんされていないことの確認ができる。","受信者が本人であることの確認と、データが改ざんされていないことの確認ができる。","データの暗号化によって、漏えいを防ぐことができる。","コンピュータウイルスへの感染を防ぐことができる。"
問63,"ISMS（情報セキュリティマネジメントシステム）の計画、運用、パフォーマンス評価及び改善において、パフォーマンス評価で実施する事項として適切なものはどれか。","情報セキュリティ目的の達成状況の監視、測定、分析及び評価を行う。","情報セキュリティリスクアセスメントを実施し、リスク対応計画を策定する。","情報セキュリティに関する教育・訓練を実施する。","監査結果に基づき、情報セキュリティマネジメントシステムの継続的な改善を行う。"
問64,"情報セキュリティリスクマネジメントにおいて、リスクアセスメントに含まれるプロセスとして、適切なものだけを全て挙げたものはどれか。(a リスク対応, b リスク特定, c リスク評価, d リスク分析)","b, c, d","a, b, c","a, c, d","a, b, d"
問65,"ソーシャルエンジニアリングの手口に該当するものはどれか。","電話でシステム管理者を装い、利用者のパスワードを聞き出す。","ネットワーク上の通信を盗聴し、パスワードを取得する。","辞書にある単語を組み合わせてパスワードを推測する。","システムの脆弱性を突き、管理者権限を奪取する。"
問66,"WAF (Web Application Firewall) の主な目的として、適切なものはどれか。","Webアプリケーションの脆弱性を悪用した攻撃からWebサーバを保護する。","外部ネットワークからの不正なポートへのアクセスを遮断する。","送信元IPアドレスを偽装したパケットを検知し、破棄する。","マルウェアの感染を検知し、駆除する。"
問67,"SQLインジェクション攻撃に該当するものはどれか。","Webアプリケーションの入力データとしてデータベースへの命令文を構成するデータを入力し、管理者の意図しないデータベースの操作を行う。","利用者がWebサイトに入力したスクリプトを、別の利用者のブラウザ上で実行させる。","大量のパケットを送りつけることで、Webサーバのサービスを停止させる。","パスワードの入力を何度も繰り返し、不正にログインする。"
問68,"マルウェアの対策に関する記述のうち、適切なものはどれか。","ウイルス定義ファイル（シグネチャ）は、常に最新の状態に更新しておく必要がある。","一度ウイルス対策ソフトを導入すれば、その後は更新しなくても全てのマルウェアを防ぐことができる。","マルウェアはWindows OSにのみ感染するため、他のOSでは対策は不要である。","不審なメールの添付ファイルでも、ウイルス対策ソフトが導入されていれば開いても問題ない。"
問69,"CPUの性能指標の一つであるクロック周波数の説明として、適切なものはどれか。","CPUが動作するタイミングを合わせるための信号が、1秒間に繰り返される回数のこと。","CPUが1秒間に処理できる命令の数のこと。","CPUが内蔵しているキャッシュメモリの容量のこと。","CPUとメインメモリの間でデータを転送する速度のこと。"
問70,"GPU (Graphics Processing Unit) の説明として、適切なものはどれか。","3Dグラフィックスなどの画像処理を高速に行うための演算装置であり、近年ではAIの機械学習などにも利用されている。","パソコンの周辺機器を接続するためのシリアルインタフェースの規格である。","電源を切っても記憶内容が消えない不揮発性の半導体メモリである。","コンピュータの主記憶装置として用いられる、高速な読み書きが可能なメモリである。"
