id,question,choiceA,choiceB,choiceC,choiceD,choiceE,correct
33,コンピュータシステム開発の外部への発注において.発注金額の確定後に請負契約を締結した。契約後.支払までに発注側と受注側の間で交わされる書類の組合せのうち.適切なものはどれか。ここで.契約内容の変更はないものとする。,納品書.検収書.請求書,提案書.納品書.検収書,提案書.見積書.請求書,見積書.納品書.請求書,,
34,SCMの導入による業務改善の事例として.最も適切なものはどれか。,ネットワークを利用して売上情報を製造元に伝達するようにしたので.製造元が製品をタイムリーに生産し.供給できるようになった。,インターネットで商品を購入できるようにしたので.販売チャネルの拡大による売上増が見込めるようになった。,営業担当者がもっている営業情報や営業ノウハウをデータベースで管理するようにしたので.それらを営業部門全体で共有できるようになった。,,,
35,ある製造業では.後工程から前工程への生産指示や.前工程から後工程への部品を引き渡す際の納品書として.部品の品番などを記録した電子式タグを用いる生産方式を採用している。サプライチェーンや内製におけるジャストインタイム生産方式の一つであるこのような生産方式として.最も適切なものはどれか。,かんばん方式,クラフト生産方式,セル生産方式,見込み生産方式,,
36,開発期間10か月.開発の人件費予算1．000万円のプロジェクトがある。5か月経過した時点で.人件費の実績は600万円であり.成果物は全体の40%が完成していた。このままの生産性で完成まで開発を続けると.人件費の予算超過はいくらになるか。,500万円,100万円,200万円,250万円,,
37,システムの利用者数が当初の想定よりも増えてシステムのレスポンスが悪化したので.増強のためにサーバを1台追加することにした。動作テストが終わったサーバをシステムに組み入れて稼働させた。この作業を実施するITサービスマネジメントのプロセスとして.適切なものはどれか。,リリース及び展開管理,インシデント管理,変更管理,問題管理,,
38,"システム監査の手順に関して.次の記述中のa.bに入れる字句の適切な組合せはどれか。

システム監査は.[a]に基づき[b]の手順によって実施しなければならない。",a:監査計画　　b:予備調査． 本調査． 評価． 結論,a:監査計画　　b:結合テスト． システムテスト． 運用テスト,a:法令　　b:予備調査． 本調査． 評価． 結論,a:法令　　b:結合テスト． システムテスト． 運用テスト,,
39,プロジェクトマネジメントのプロセスには.プロジェクトコストマネジメント.プロジェクトコミュニケーションマネジメント.プロジェクト資源マネジメント.プロジェクトスケジュールマネジメントなどがある。システム開発プロジェクトにおいて.テストを実施するメンバを追加するときのプロジェクトコストマネジメントの活動として.最も適切なものはどれか。,新規に参加するメンバの人件費を見積もり.その計画を変更する。,新規に参加するメンバに対して情報が効率的に伝達されるように.メーリングリストなどを更新する。,新規に参加するメンバに対する.テストツールのトレーニングをベンダに依頼する。,新規に参加するメンバに担当させる作業を追加して.スケジュールを変更する。,,
40,同一難易度の複数のプログラムから成るソフトウェアのテスト工程での品質管理において.各プログラムの単位ステップ数当たりのバグ数をグラフ化し.上限・下限の限界線を超えるものを異常なプログラムとして検出したい。作成する図として.最も適切なものはどれか。,管理図,特性要因図,パレート図,レーダチャート,,
41,クラスや継承という概念を利用して.ソフトウェアを部品化したり再利用することで.ソフトウェア開発の生産性向上を図る手法として.適切なものはどれか。,オブジェクト指向,構造化,プロセス中心アプローチ,プロトタイピング,,
42,システム開発プロジェクトにおいて.利用者から出た要望に対応するために.プログラムを追加で作成することになった。このプログラムを作成するために.先行するプログラムの作成を終えたプログラマを割り当てることにした。そして.結合テストの開始予定日までに全てのプログラムが作成できるようにスケジュールを変更し.新たな計画をプロジェクト内に周知した。このように.変更要求をマネジメントする活動はどれか。,プロジェクト統合マネジメント,プロジェクト資源マネジメント,プロジェクトスコープマネジメント,プロジェクトスケジュールマネジメント,,
43,A社で新規にシステムを開発するプロジェクトにおいて.システムの開発をシステム要件定義.設計.プログラミング.結合テスト.総合テスト.運用テストの順に行う。A社は.外部ベンダのB社と設計.プログラミング及び結合テストを委託範囲とする請負契約を結んだ。A社が実施する受入れ検収はどの工程とどの工程の間で実施するのが適切か。,結合テストと総合テストの間,システム要件定義と設計の間,プログラミングと結合テストの間,総合テストと運用テストの間,,
44,ITサービスマネジメントにおいて.サービスデスクが受け付けた難度の高いインシデントを解決するために.サービスデスクの担当者が専門技術をもつ二次サポートに解決を委ねることはどれか。,エスカレーション,FAQ,SLA,ワークアラウンド,,
45,ITILに関する記述として.適切なものはどれか。,ITサービスの提供とサポートに対して.ベストプラクティスを提供している。,ITシステム開発とその取引の適正化に向けて.作業項目を一つ一つ定義し.標準化している。,ソフトウェア開発組織の成熟度を多段階のレベルで定義している。,プロジェクトマネジメントの知識を体系化している。,,
46,システム要件定義で明確にするもののうち.性能に関する要件はどれか。,照会機能の応答時間,業務要件を実現するシステムの機能,システムの稼働率,障害の復旧時間,,
47,システム開発プロジェクトにおいて.成果物として定義された画面・帳票の一覧と.実際に作成された画面・帳票の数を比較して.開発中に生じた差異とその理由を確認するプロジェクトマネジメントの活動はどれか。,プロジェクトスコープマネジメント,プロジェクト資源マネジメント,プロジェクト調達マネジメント,プロジェクト品質マネジメント,,
48,既存のプログラムを.外側から見たソフトウェアの動きを変えずに内部構造を改善する活動として.最も適切なものはどれか。,リファクタリング,テスト駆動開発,ペアプログラミング,リバースエンジニアリング,,
49,"ITガバナンスに関する次の記述中のaに入れる.最も適切な字句はどれか。

[a]は.現在及び将来のITの利用についての評価とIT利用が事業の目的に合致することを確実にする役割がある。",経営者,株主,監査人,情報システム責任者,,
51,アジャイル開発を実施している事例として.最も適切なものはどれか。,分析システムの開発において.分析の精度の向上を図るために.固定された短期間のサイクルを繰り返しながら分析プログラムの機能を順次追加する。,AIシステムの予測精度を検証するために.開発に着手する前にトライアルを行い.有効なアルゴリズムを選択する。,IoTの様々な技術を幅広く採用したいので.技術を保有するベンダに開発を委託する。,IoTを採用した大規模システムの開発を.上流から下流までの各工程における完了の承認を行いながら順番に進める。,,
52,"自社の情報システムに関して.BCP(事業継続計画)に基づいて.マネジメントの視点から行う活動a～d のうち.適切なものだけを全て挙げたものはどれか。

a.重要データのバックアップを定期的に取得する。
b.非常時用の発電機と燃料を確保する。
c.複数の通信網を確保する。
d.復旧手順の訓練を実施する。",a.b.c.d,a.b.c,a.d,b.c.d,,
53,ITサービスにおけるSLMに関する説明のうち.適切なものはどれか。,SLMでは.SLAで合意した定量的な目標の達成状況を確認するために.サービスの提供状況のモニタリングやレビューを行う。,SLMでは.SLAで合意したサービスレベルを維持することが最優先課題となるので.サービスの品質の改善は補助的な活動となる。,SLMの目的は.顧客とサービスの内容.要求水準などの共通認識を得ることであり.SLAの作成が活動の最終目的である。,SLMを効果的な活動にするために.SLAで合意するサービスレベルを容易に達成できるレベルにしておくことが重要である。,,
54,WBSを作成するときに.作業の記述や完了基準などを記述した補助文書を作成する。この文書の目的として.適切なものはどれか。,WBSで定義した作業の内容と意味を明確に定義する。,WBSで定義した作業で使用するデータの意味を明確に定義する。,WBSで定義した作業の進捗を管理する。,WBSで定義した作業のスケジュールのクリティカルパスを求める。,,
55,有料のメールサービスを提供している企業において.メールサービスに関する開発・設備投資の費用対効果の効率性を対象にしてシステム監査を実施するとき.システム監査人が所属している組織として.最も適切なものはどれか。,社長直轄の品質保証部門,メールサービスに必要な機器の調達を行う運用部門,メールサービスの機能の選定や費用対効果の評価を行う企画部門,メールシステムの開発部門,,
56,インターネットにおいてドメイン名とIPアドレスの対応付けを行うサービスを提供しているサーバに保管されている管理情報を書き換えることによって.利用者を偽のサイトへ誘導する攻撃はどれか。,DNSキャッシュポイズニング,DDoS攻撃,SQLインジェクション,フィッシング,,
57,CPU.主記憶.HDDなどのコンピュータを構成する要素を1枚の基板上に実装し.複数枚の基板をラック内部に搭載するなどの形態がある.省スペース化を実現しているサーバを何と呼ぶか。,ブレードサーバ,DNSサーバ,FTPサーバ,Webサーバ,,
58,サーバルームへの共連れによる不正入室を防ぐ物理的セキュリティ対策の例として.適切なものはどれか。,サークル型のセキュリティゲートを設置する。,サーバの入ったラックを施錠する。,サーバルーム内にいる間は入室証を着用するルールとする。,サーバルームの入り口に入退室管理簿を置いて記録させる。,,
59,Aさんが.Pさん.Qさん及びRさんの3人に電子メールを送信した。Toの欄にはPさんのメールアドレスを.Ccの欄にはQさんのメールアドレスを.Bccの欄にはRさんのメールアドレスをそれぞれ指定した。電子メールを受け取った3人に関する記述として.適切なものはどれか。,Qさんは.同じ内容のメールがPさんにも送信されていることを知ることができる。,PさんとQさんは.同じ内容のメールがRさんにも送信されていることを知ることができる。,Pさんは.同じ内容のメールがQさんに送信されていることを知ることはできない。,Rさんは.同じ内容のメールがPさんとQさんに送信されていることを知ることはできない。,,
60,情報システムにおける二段階認証の例として.適切なものはどれか。,利用者IDとパスワードを入力して認証を行った後.秘密の質問への答えを入力することによってログインできる。,画面に表示されたゆがんだ文字列の画像を読み取って入力した後.利用者IDとパスワードを入力することによって認証を行える。,サーバ室への入室時と退室時に生体認証を行い.認証によって入室した者だけが退室の認証を行える。,利用者IDの入力画面へ利用者IDを入力するとパスワードの入力画面に切り替わり.パスワードを入力することによってログインできる。,,
61,クレジットカードの会員データを安全に取り扱うことを目的として策定された.クレジットカード情報の保護に関するセキュリティ基準はどれか。,PCI DSS,NFC,PCI Express,RFID,,
62,金融システムの口座振替では.振替元の口座からの出金処理と振替先の口座への入金処理について.両方の処理が実行されるか.両方とも実行されないかのどちらかであることを保証することによってデータベースの整合性を保っている。データベースに対するこのような一連の処理をトランザクションとして扱い.矛盾なく処理が完了したときに.データベースの更新内容を確定することを何というか。,コミット,スキーマ,ロールフォワード,ロック,,
63,PCやスマートフォンのブラウザから無線LANのアクセスポイントを経由して.インターネット上のWebサーバにアクセスする。このときの通信の暗号化に利用するSSL/TLSとWPA2に関する記述のうち.適切なものはどれか。,WPA2の利用の有無にかかわらず.SSL/TLSを利用することによって.ブラウザとWebサーバ間の通信を暗号化できる。,SSL/TLSの利用の有無にかかわらず.WPA2を利用することによって.ブラウザとWebサーバ間の通信を暗号化できる。,ブラウザとWebサーバ間の通信を暗号化するためには.PCの場合はSSL/TLSを利用し.スマートフォンの場合はWPA2を利用する。,ブラウザとWebサーバ間の通信を暗号化するためには.PCの場合はWPA2を利用し.スマートフォンの場合はSSL/TLSを利用する。,,
64,CPU内部にある高速小容量の記憶回路であり.演算や制御に関わるデータを一時的に記憶するのに用いられるものはどれか。,レジスタ,GPU,SSD,主記憶,,
65,シャドーITの例として.適切なものはどれか。,データ量が多く電子メールで送れない業務で使うファイルを.会社が許可していないオンラインストレージサービスを利用して取引先に送付した。,会社のルールに従い.災害時に備えて情報システムの重要なデータを遠隔地にバックアップした。,他の社員がパスワードを入力しているところをのぞき見て入手したパスワードを使って.情報システムにログインした。,他の社員にPCの画面をのぞかれないように.離席する際にスクリーンロックを行った。,,
66,RGBの各色の階調を.それぞれ3桁の2進数で表す場合.混色によって表すことができる色は何通りか。,512,8,24,256,,
67,"ISMSにおける情報セキュリティに関する次の記述中のa.bに入れる字句の適切な組合せはどれか。

情報セキュリティとは.情報の機密性.完全性及び[a]を維持することである。さらに.真正性.責任追跡性.否認防止.[b]などの特性を維持することを含める場合もある。",a:可用性 b:信頼性,a:可用性 b:保守性,a:保全性 b:信頼性,a:保全性 b:保守性,,
68,全ての通信区間で盗聴されるおそれがある通信環境において.受信者以外に内容を知られたくないファイルを電子メールに添付して送る方法として.最も適切なものはどれか。,S/MIMEを利用して電子メールを暗号化する。,SSL/TLSを利用してプロバイダのメールサーバとの通信を暗号化する。,WPA2を利用して通信を暗号化する。,パスワードで保護されたファイルを電子メールに添付して送信した後.別の電子メールでパスワードを相手に知らせる。,,
69,"バイオメトリクス認証における認証精度に関する次の記述中のa.bに入れる字句の適切な組合せはどれか。

バイオメトリクス認証において.誤って本人を拒否する確率を本人拒否率といい.誤って他人を受け入れる確率を他人受入率という。また.認証の装置又はアルゴリズムが生体情報を認識できない割合を未対応率という。
認証精度の設定において.[a]が低くなるように設定すると利便性が高まり.[b]が低くなるように設定すると安全性が高まる。",a:本人拒否率 b:他人受入率,a:他人受入率 b:本人拒否率,a:他人受入率 b:未対応率,a:未対応率 b:本人拒否率,,
71,移動体通信サービスのインフラを他社から借りて.自社ブランドのスマートフォンやSIMカードによる移動体通信サービスを提供する事業者を何と呼ぶか。,MVNO,ISP,OSS,MNP,,
72,IoTデバイスとIoTサーバで構成され.IoTデバイスが計測した外気温をIoTサーバへ送り.IoTサーバからの指示で窓を開閉するシステムがある。このシステムのIoTデバイスに搭載されて.窓を開閉する役割をもつものはどれか。,アクチュエータ,エッジコンピューティング,キャリアアグリゲーション,センサ,,
73,IoTデバイスに関わるリスク対策のうち.IoTデバイスが盗まれた場合の耐タンパ性を高めることができるものはどれか。,IoTデバイス内のデータを.暗号鍵を内蔵するセキュリティチップを使って暗号化する。,IoTデバイスとIoTサーバ間の通信を暗号化する。,IoTデバイスに最新のセキュリティパッチを速やかに適用する。,IoTデバイスへのログインパスワードを初期値から変更する。,,
75,"情報システムに関する機能a～dのうち.DBMSに備わるものを全て挙げたものはどれか。

a.アクセス権管理
b.障害回復
c.同時実行制御
d.ファイアウォール",a.b.c,a.d,b.c,c.d,,
76,IoTデバイス群とそれを管理するIoTサーバ構成されるIoTシステムがある。全てのIoTデバイスは同一の鍵を用いて通信の暗号化を行い.IoTサーバではIoTデバイスがもつ鍵とは異なる鍵で通信の復号を行うとき.この暗号技術はどれか。,公開鍵暗号方式,共通鍵暗号方式,ハッシュ関数,ブロックチェーン,,
77,PDCAモデルに基づいてISMSを運用している組織の活動において.リスクマネジメントの活動状況の監視の結果などを受けて.是正や改善措置を決定している。この作業は.PDCAモデルのどのプロセスで実施されるか。,A,P,D,C,,
78,OSS(Open Source Software)に関する記述として.適切なものはどれか。,利用に当たり.有償サポートが提供される製品がある。,ソースコードを公開しているソフトウェアは.全てOSSである。,著作権が放棄されており.誰でも自由に利用可能である。,どのソフトウェアも.個人が無償で開発している。,,
79,"中小企業の情報セキュリティ対策普及の加速化に向けて.IPAが創設した制度である""SECURITY ACTION""に関する記述のうち.適切なものはどれか。",情報セキュリティ対策に取り組むことを自己宣言する制度,ISMS認証取得に必要な費用の一部を国が補助する制度,営利を目的としている組織だけを対象とした制度,情報セキュリティ対策に取り組んでいることを第三者が認定する制度,,
80,IoTデバイス.IoTゲートウェイ及びIoTサーバで構成された.温度・湿度管理システムがある。IoTデバイスとその近傍に設置されたIoTゲートウェイとの間を接続するのに使用する.低消費電力の無線通信の仕様として.適切なものはどれか。,BLE,HEMS,NUI,PLC,,
81,J-CRATに関する記述として.適切なものはどれか。,相談を受けた組織に対して.標的型サイバ一攻撃の被害低減と攻撃の連鎖の遮断を支援する活動を行う。,企業などに対して.24時間体制でネットワークやデバイスを監視するサービスを提供する。,コンピュータセキュリティに関わるインシデントが発生した組織に赴いて.自らが主体となって対応の方針や手順の策定を行う。,重工.重電など.重要インフラで利用される機器の製造業者を中心に.サイバー攻撃に関する情報共有と早期対応の場を提供する。,,
82,ネットワークに接続した複数のコンピュータで並列処理を行うことによって.仮想的に高い処理能力をもつコンピュータとして利用する方式はどれか。,グリッドコンピューティング,ウェアラブルコンピューティング,モバイルコンピューティング,ユビキタスコンピューティング,,
83,多くのファイルの保存や保管のために.複数のファイルを一つにまとめることを何と呼ぶか。,アーカイブ,関係データベース,ストライピング,スワッピング,,
84,PCにメールソフトを新規にインストールした。その際に設定が必要となるプロトコルに該当するものはどれか。,POP3,DNS,FTP,MIME,,
85,無線LANのセキュリティにおいて.アクセスポイントがPCなどの端末からの接続要求を受け取ったときに.接続を要求してきた端末固有の情報を基に接続制限を行う仕組みはどれか。,MACアドレスフィルタリング,ESSID,VPN,WPA2,,
86,店内に設置した多数のネットワークカメラから得たデータを.インターネットを介してIoTサーバに送信し.顧客の行動を分析するシステムを構築する。このとき.IoTゲートウェイを店舗内に配置し.映像解析処理を実行して映像から人物の座標データだけを抽出することによって.データ量を減らしてから送信するシステム形態をとった。このようなシステム形態を何と呼ぶか。,エッジコンピューティング,MDM,SDN,デュプレックスシステム,,
87,単語を読みやすくするために.表示したり印刷したりするときの文字幅が.文字ごとに異なるフォントを何と呼ぶか。,プロポーショナルフォント,アウトラインフォント,等幅フォント,ビットマップフォント,,
88,ISMSのリスクアセスメントにおいて.最初に行うものはどれか。,リスク特定,リスク対応,リスク評価,リスク分析,,
89,"情報の表現方法に関する次の記述中のa～cに入れる字句の組合せはどれか。

情報を.連続する可変な物理量(長さ.角度.電圧など)で表したものを[a]データといい.離散的な数値で表したものを[b]データという。音楽や楽曲などの配布に利用されるCDは.情報を[c]データとして格納する光ディスク媒体の一つである。",a.アナログ b.ディジタル c.ディジタル,a.アナログ b.ディジタル c.アナログ,a.ディジタル b.アナログ c.アナログ,a.ディジタル b.アナログ c.ディジタル,,
